frame.number,frame.time_epoch,frame.len,ip.src,ip.dst,tcp.srcport,tcp.dstport,ip.ttl,tcp.flags
"256","1411631282.368234000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"257","1411631282.368292000","370","37.187.81.8","185.31.48.30","443","21461","64","24"
"258","1411631282.368333000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"259","1411631282.368756000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"260","1411631282.368762000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"261","1411631282.368933000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"262","1411631282.380466000","107","185.31.48.30","37.187.81.8","32659","443","119","24"
"263","1411631282.404217000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"264","1411631282.436011000","56","37.187.81.8","185.31.48.30","443","32659","64","16"
"265","1411631282.603623000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"266","1411631284.614462000","620","185.31.48.30","37.187.81.8","21461","443","119","24"
"267","1411631284.654973000","56","37.187.81.8","185.31.48.30","443","21461","64","16"
"268","1411631284.691440000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"269","1411631284.691517000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"270","1411631284.691540000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"271","1411631284.691598000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"272","1411631284.691642000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"273","1411631284.691673000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"274","1411631284.691731000","319","37.187.81.8","185.31.48.30","443","21461","64","24"
"275","1411631284.691806000","1436","37.187.81.8","185.31.48.30","443","21461","64","16"
"276","1411631284.691844000","1266","37.187.81.8","185.31.48.30","443","21461","64","24"
"277","1411631284.726714000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"278","1411631284.727148000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"279","1411631284.727388000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"280","1411631284.727392000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"281","1411631284.926614000","56","185.31.48.30","37.187.81.8","21461","443","119","16"
"282","1411631288.046219000","87","185.31.48.30","37.187.81.8","32659","443","119","24"
"283","1411631288.046267000","56","37.187.81.8","185.31.48.30","443","32659","64","16"
"284","1411631288.046230000","56","185.31.48.30","37.187.81.8","32659","443","119","17"
"285","1411631288.046420000","87","37.187.81.8","185.31.48.30","443","32659","64","24"
"286","1411631288.046493000","56","37.187.81.8","185.31.48.30","443","32659","64","17"
"287","1411631288.081337000","56","185.31.48.30","37.187.81.8","32659","443","119","20"
"288","1411631289.696934000","87","37.187.81.8","185.31.48.30","443","21461","64","24"
